horizon,mse,rmse,mae,mape,mdape,smape,coverage,dias_no_futuro,data_no_futuro
12 days,146.81378511720195,12.116673847108453,8.039120616688765,0.14009242432829744,0.07292883337136606,0.12627702559978493,0.397280355879082,12,2024-07-13
13 days,150.89374222700906,12.28388139909406,8.165182309994146,0.14263916223746037,0.07364081083084635,0.1284462734557346,0.39464553881207604,13,2024-07-14
14 days,156.61858873571742,12.514734864779095,8.369808556546921,0.14633315371650624,0.07711151337251822,0.13166935437329003,0.389052871420434,14,2024-07-15
15 days,161.4139366227142,12.704878457612816,8.55936828392113,0.14946123206947068,0.08236373622235371,0.13455130479731306,0.3791932059447983,15,2024-07-16
16 days,168.78365635072427,12.991676425724444,8.845776362841324,0.15606666976373257,0.08459199154028833,0.1393657692079217,0.36973745533633684,16,2024-07-17
17 days,173.85543264432135,13.185425008103506,9.098037352798322,0.15873185838752935,0.08971152904641105,0.14292691571208144,0.35430583605199106,17,2024-07-18
18 days,175.78398073970877,13.258355129491319,9.239586433439568,0.15743609427716768,0.09253076120957583,0.14392902585788866,0.33802659515029615,18,2024-07-19
19 days,171.24666932417483,13.08612506910181,9.186523467755132,0.15216421537076236,0.09253076120957583,0.14207893038301492,0.32939035486806184,19,2024-07-20
20 days,172.03150935417176,13.116078276457936,9.268197347340083,0.15319548163897687,0.0933007769859611,0.1441553542658462,0.3232872456113096,20,2024-07-21
21 days,173.9805872782701,13.190170100429716,9.363652052809337,0.15545344724159224,0.0946687687799143,0.14693280822553673,0.3174097664543524,21,2024-07-22
22 days,177.12512151631233,13.308836219456317,9.46955444409539,0.15889629547461773,0.09594220411045287,0.1490283518097783,0.310031847133758,22,2024-07-23
23 days,181.7724165911371,13.48230012242485,9.625690621629673,0.16455075084886678,0.09594220411045287,0.15245470139763734,0.316296411371757,23,2024-07-24
24 days,190.08906414983684,13.787279069846843,9.862915512762513,0.17067803340162765,0.09754069658610111,0.1571409914539513,0.3240786107028145,24,2024-07-25
25 days,192.39054543462643,13.870491895914379,9.960728263976105,0.17005413728173824,0.09906011698875067,0.1583497225921246,0.33121019108280253,25,2024-07-26
26 days,190.2360887435344,13.792609932262073,9.868325908776775,0.16617531689463416,0.09610285090050327,0.15622213910714092,0.346072186836518,26,2024-07-27
27 days,191.01085605102926,13.820667713646445,9.825174490106049,0.16776100925634244,0.0946687687799143,0.15646216839995494,0.3640930039873647,27,2024-07-28
28 days,197.51110958688795,14.053864578360216,9.928024873567049,0.1773970773435628,0.09426716631038018,0.15977160584318068,0.3749158510693387,28,2024-07-29
29 days,204.01323376785936,14.283320124111878,10.024479937789874,0.18481334103454766,0.09282266371321196,0.1629948666098159,0.38396211007675973,29,2024-07-30
30 days,209.78240467324648,14.483867048314359,10.12024891654392,0.1913073091260006,0.09196790615928237,0.1656819548563851,0.39660297239915077,30,2024-07-31
31 days,219.52573317912416,14.816400817307965,10.364343434706777,0.19919277038376929,0.0933007769859611,0.17090321073232134,0.4024131324115789,31,2024-08-01
32 days,222.7108225585794,14.92349900521253,10.467849517428299,0.1982502555034048,0.09594220411045287,0.17200793151376725,0.4089057210076318,32,2024-08-02
33 days,220.74039775462512,14.857334813304341,10.404045175385754,0.19457422940867386,0.09679320393253718,0.16989968173160921,0.4173650687227623,33,2024-08-03
34 days,220.6165090152524,14.853164949439309,10.38280414240236,0.19645242263572538,0.09679320393253718,0.17057663721925242,0.42914693233164575,34,2024-08-04
35 days,225.83273323879627,15.027732138908927,10.53673759136736,0.20067140775435846,0.09850908698654263,0.17435089389655242,0.42462845010615713,35,2024-08-05
36 days,229.3372687986012,15.143885525141862,10.647605053936038,0.2032006548734104,0.09854449674350531,0.17624940540187575,0.42076324241929336,36,2024-08-06
37 days,235.89462712268312,15.35886151779106,10.8248709082527,0.20914588219143537,0.10433877364920464,0.17966777031774778,0.4189853614929042,37,2024-08-07
38 days,246.08949532463728,15.687239888668666,11.106204727760728,0.2169646685774433,0.10627237566399327,0.18557775232216672,0.4107721533132193,38,2024-08-08
39 days,249.33169185186037,15.790240398798884,11.236032021087482,0.21525725266318868,0.107229493518329,0.1871373941072212,0.4128695084109097,39,2024-08-09
40 days,242.41407101115306,15.569652244387253,11.1091266709373,0.202836793023421,0.107229493518329,0.1832960618692314,0.40887249972063916,40,2024-08-10
41 days,240.00714084699283,15.492163852961045,11.0852553302725,0.1994568263831991,0.10600181457530679,0.1828018505669229,0.417515923566879,41,2024-08-11
42 days,244.2598905615845,15.6288160319835,11.243902830972717,0.19926658599201488,0.10855874160072676,0.18602259497108042,0.412379552506941,42,2024-08-12
43 days,246.48015086559457,15.69968633016579,11.287851572161753,0.19777439990030202,0.11172035906552856,0.18617454848809967,0.42078384116600676,43,2024-08-13
44 days,251.88485059961516,15.870880586773223,11.388609110138766,0.2012817486964499,0.11172035906552856,0.18819547761149993,0.42747656775930815,44,2024-08-14
45 days,259.33693021675896,16.103941449743257,11.577927975707777,0.20445592088415873,0.1143545696270037,0.19146781232132976,0.43434182590233544,45,2024-08-15
46 days,263.26935901976526,16.22557730929058,11.712222705275991,0.20233313627791344,0.11671784818416893,0.19272633149113258,0.4319002123142251,46,2024-08-16
47 days,256.76444494862653,16.023871097479116,11.546328393112523,0.1958565337054827,0.11544783732069043,0.1890470679383229,0.4437367303609342,47,2024-08-17
48 days,256.63131495742823,16.019716444351573,11.532646618177736,0.1950987197661519,0.1143545696270037,0.18949420339471398,0.45010615711252655,48,2024-08-18
49 days,263.3053730802982,16.226687064225345,11.721168179060793,0.19736880777817134,0.1143545696270037,0.19364316139078877,0.4488853503184714,49,2024-08-19
50 days,269.06937756931364,16.40333434303263,11.87536145481948,0.19790834453167688,0.1162584784054915,0.19564386387501098,0.45514861995753714,50,2024-08-20
51 days,274.4653035882276,16.566994404182903,12.019368632886884,0.20137869727672314,0.1162584784054915,0.19802265573100025,0.45010615711252655,51,2024-08-21
52 days,286.6596189002639,16.93102533517282,12.343789694778787,0.20896764971124085,0.12000220547324272,0.2049832920436581,0.45222929936305734,52,2024-08-22
53 days,294.6548813553705,17.16551430500614,12.558770797076154,0.21082293755909612,0.12139686885033465,0.208822364598884,0.44485138004246283,53,2024-08-23
54 days,296.81277110976606,17.228255022194386,12.583465464224403,0.21134004669632941,0.12145283574310496,0.20823648985210652,0.45010615711252655,54,2024-08-24
55 days,297.2709224255023,17.241546404702284,12.60571723830713,0.21293923860890526,0.12284285561630456,0.2095065974718898,0.45331809026076547,55,2024-08-25
56 days,310.24335112879834,17.61372621363232,12.90031225842185,0.2186671690953906,0.12335682196946804,0.21564154500347216,0.4542980020687027,56,2024-08-26
57 days,320.47183797613053,17.901727234435523,13.127829649250996,0.22237314458036567,0.12455398642972622,0.21965518045511867,0.45116772823779194,57,2024-08-27
58 days,326.0581977845272,18.057081651931664,13.216096739156574,0.22416099773918988,0.12455398642972622,0.22154087991225596,0.463683093083026,58,2024-08-28
59 days,336.4696439893657,18.343108896513854,13.445772052652908,0.23070073570275382,0.12647993986857722,0.2271302740106318,0.4744692144373673,59,2024-08-29
60 days,340.8734257363938,18.462757804195824,13.56797251873817,0.23232219056794762,0.1278475631666381,0.23012708461840237,0.48178997223583214,60,2024-08-30
61 days,337.604443445786,18.374015441535526,13.454410694939007,0.22993294311284085,0.125739672193259,0.22718694411389925,0.49585987261146497,61,2024-08-31
62 days,332.24795177398175,18.227669949118066,13.322884861467765,0.22977690916772453,0.125739672193259,0.2260668627851721,0.5044055201698514,62,2024-09-01
63 days,340.1943973682192,18.444359500080754,13.505890373194541,0.23465001684952577,0.12788348665863628,0.23055507809995926,0.5107749469214438,63,2024-09-02
64 days,342.59357847144565,18.50928357531554,13.539748703852243,0.23378748482258296,0.12869899481123223,0.23054298477360674,0.5222929936305732,64,2024-09-03
65 days,341.0257523086853,18.466882582306233,13.465433544775133,0.23194725844438138,0.12895004927596823,0.22860400754722998,0.5394904458598726,65,2024-09-04
66 days,344.1755155818041,18.551967970590184,13.521879781786009,0.2347860357522816,0.12991678722151237,0.23125180658029532,0.5465498938428875,66,2024-09-05
67 days,356.01918102170174,18.868470553325242,13.759053642493027,0.24078482141241428,0.13958290784074123,0.23576534563556184,0.5445859872611465,67,2024-09-06
68 days,350.7236188622248,18.7276164757351,13.606771200708351,0.24059249630710494,0.14032880584457977,0.2320695827349584,0.5557733137350972,68,2024-09-07
69 days,347.8658109252086,18.651161114665452,13.56793145688117,0.242253535902651,0.13920038944933227,0.23167421607536767,0.5681081685104481,69,2024-09-08
70 days,355.5300128844217,18.855503517127875,13.764146725663196,0.24587333183597296,0.14283503465116043,0.23526351766463643,0.5681528662420383,70,2024-09-09
71 days,362.19642430538636,19.03145880654939,13.902708261132252,0.2448421009476684,0.14032880584457977,0.23574356761614998,0.571181137557269,71,2024-09-10
72 days,361.98401383875876,19.025877478811818,13.873560562470322,0.24268405416905436,0.14283503465116043,0.23410501042652865,0.5777979981801639,72,2024-09-11
73 days,366.0274396092869,19.13184360194508,13.959844848693873,0.24480788668854694,0.1439128151124416,0.23632649035254014,0.5818471337579618,73,2024-09-12
74 days,372.4310087662513,19.298471669182803,14.117551002099487,0.24705318103288437,0.14810594328173787,0.23824614254331367,0.5828025477707006,74,2024-09-13
75 days,370.51901617165345,19.24887051677717,14.059157517446629,0.24557974904131358,0.1491789650044426,0.23629201054519902,0.5912678970003811,75,2024-09-14
76 days,371.61615882283405,19.27734833484196,14.100713216002278,0.24847475000694919,0.14715622655049534,0.2370679318154631,0.5951012376365802,76,2024-09-15
77 days,379.6178839303881,19.483785154081023,14.324895338894851,0.2507756745662958,0.14715622655049534,0.2409618006475571,0.5961369167831805,77,2024-09-16
78 days,382.7503326266428,19.56400604750067,14.43697707340656,0.24863622170253297,0.14675937699395417,0.24159275184880433,0.6040339702760085,78,2024-09-17
79 days,373.77402116623597,19.333236179342453,14.29442652681285,0.2416141002188687,0.14715622655049534,0.23807008512832475,0.6158123546658578,79,2024-09-18
80 days,376.4330179511084,19.401881814687677,14.402599585170254,0.24314352754965343,0.1491789650044426,0.24147604456530378,0.6159766454352441,80,2024-09-19
81 days,382.13950337463115,19.54838876671505,14.535510316233093,0.24556497371864835,0.14992519842535298,0.2453640851917245,0.6166367249169797,81,2024-09-20
82 days,381.5425943752841,19.533115326933494,14.523318218345011,0.24692566136715158,0.1521804915850096,0.24438240677593534,0.625,82,2024-09-21
83 days,380.40463779710785,19.503964668679746,14.544490519452816,0.25094831773976123,0.15365133518614113,0.2453925363650507,0.6263269639065817,83,2024-09-22
84 days,391.14927604286913,19.777494180074207,14.81042314080742,0.2578754346717847,0.1544663662369661,0.2513613049063317,0.6282429703277924,84,2024-09-23
85 days,395.4335527568552,19.885511126366733,14.936377705933173,0.25742674331273946,0.15686785077013748,0.2533522753249577,0.6307365670422995,85,2024-09-24
86 days,391.6046903090076,19.789004277856115,14.851723220530541,0.25325957134365384,0.15686785077013748,0.2514802057825761,0.6406861101799083,86,2024-09-25
87 days,395.474094957658,19.886530490702945,14.920515711234609,0.2566926946895258,0.15530768239892667,0.25375296136127407,0.646004867691989,87,2024-09-26
88 days,408.43329154895724,20.209732594692024,15.1345271385425,0.26865370674279254,0.1589561511804314,0.2588200666472462,0.6488853503184714,88,2024-09-27
89 days,413.84267029002257,20.34312341529743,15.18837004843439,0.27578766749378103,0.1589561511804314,0.26050592019530167,0.6532573471896301,89,2024-09-28
90 days,415.37395248145435,20.380725023449347,15.179689904614072,0.2809153817827235,0.16178094741431576,0.2608964421347431,0.6587048832271762,90,2024-09-29
91 days,426.9913566221922,20.66376917752887,15.414648673417469,0.28887773411002066,0.16350008752531253,0.26661694398170666,0.6551188441820724,91,2024-09-30
92 days,431.0461864108048,20.761651822791094,15.510896746853138,0.28771905376293455,0.16497210947177732,0.2680820075403167,0.654099959832444,92,2024-10-01
93 days,426.78909819456345,20.658874562631997,15.430389274655466,0.2831783122314436,0.16434974553134768,0.26495601380565265,0.6567214213878646,93,2024-10-02
94 days,428.3246559570104,20.69600579718247,15.447670719115155,0.2857214289467509,0.16623838286712098,0.266423363701927,0.6560509554140127,94,2024-10-03
95 days,439.9054706680524,20.97392358782811,15.665566198870662,0.29041997763605915,0.16623838286712098,0.2713290086811431,0.6555609995100441,95,2024-10-04
96 days,443.94773756072453,21.070067336406986,15.742956598056052,0.2919110619744554,0.16746310845177975,0.2713361165154851,0.65873281930942,96,2024-10-05
97 days,447.8502686934308,21.162473123277223,15.811157918401335,0.2961048733275533,0.17012295572350855,0.2721497381113977,0.6621908532736558,97,2024-10-06
98 days,463.2654087589232,21.523601203305248,16.134852035538866,0.305036724703279,0.1715799173933455,0.27917183433916415,0.659068052296346,98,2024-10-07
99 days,467.92083521127455,21.631477878574884,16.22639545419585,0.30259092546881805,0.17245088551944432,0.2803971716863048,0.6567586694975229,99,2024-10-08
100 days,457.8430383446422,21.397267076536718,16.070774741807423,0.2889806138751331,0.17451111241417477,0.2758312216720819,0.6581182255000558,100,2024-10-09
101 days,454.91769457691754,21.32879965157246,16.035329846110074,0.2840648587556378,0.17507065345040165,0.27546955202699064,0.6575036316906917,101,2024-10-10
102 days,463.1546406100778,21.52102787066821,16.201630954423262,0.2830864669138198,0.17580247998614787,0.2793792110003662,0.6553976808753879,102,2024-10-11
103 days,463.04756811052494,21.518540101747725,16.173972246678066,0.27959157446684973,0.17846397586368218,0.2770760781944485,0.6624203821656051,103,2024-10-12
104 days,465.36790799556013,21.572387628530137,16.189992923502125,0.2816816805020286,0.1785864707374068,0.2770341765796497,0.6652684998187561,104,2024-10-13
105 days,473.31023981836586,21.755694422802637,16.368340438588472,0.28431071588615436,0.1845416011828981,0.28005856340221347,0.6687380249598674,105,2024-10-14
106 days,474.80974198308814,21.790129462283794,16.42520426389229,0.2804182956471919,0.18883314292319525,0.27946841499988007,0.671443736730361,106,2024-10-15
107 days,463.4792348704494,21.528567877832685,16.19830787346751,0.2719872050119173,0.18968222760487574,0.2744400322754494,0.6763569056562687,107,2024-10-16
108 days,462.9838865014059,21.517060359198833,16.195596729312417,0.2704506482571521,0.19009129838601596,0.27562177575282343,0.6704229952637596,108,2024-10-17
109 days,472.6498266761357,21.740511187093457,16.38444340486078,0.2715207877396856,0.19339710744724561,0.28003148931049426,0.666176710762698,109,2024-10-18
110 days,474.8352234214139,21.790714155837435,16.40900072034491,0.26907461345404443,0.19822565427529093,0.2789454169261994,0.670749632533072,110,2024-10-19
111 days,476.66255643300684,21.832603061316505,16.46707972125974,0.2706819090683754,0.1986215208315628,0.27955608254112524,0.6728727747836027,111,2024-10-20
112 days,489.34940673991156,22.121243336212174,16.739363869366567,0.27696049213338914,0.20132288645290636,0.28615562702766273,0.670276008492569,112,2024-10-21
113 days,494.46160707909496,22.236492688351166,16.851536189341058,0.27647967273645757,0.20790073411925328,0.2883455399578953,0.6674628450106157,113,2024-10-22
114 days,492.4988706338269,22.192315576204006,16.82244981508976,0.27502879509361716,0.20659519735883347,0.28606419834125696,0.6638358103326256,114,2024-10-23
115 days,492.0868051448065,22.183029665598124,16.826658751802707,0.275410128179684,0.20659519735883347,0.28727949074583226,0.6583374162991997,115,2024-10-24
116 days,509.484205207555,22.57175680374824,17.153690961280912,0.2806124018648462,0.20850440358353614,0.29407453452006116,0.6545424069728462,116,2024-10-25
117 days,519.7096315471081,22.797140863430837,17.304161533224786,0.2826782755241772,0.20819742952874395,0.29614845293260994,0.6499110575543697,117,2024-10-26
118 days,525.8844988801643,22.932171700041064,17.388195304171745,0.2841947233370088,0.20659519735883347,0.29794991397530324,0.6469996647670131,118,2024-10-27
119 days,537.3540724216282,23.18089887000994,17.599669079433063,0.28994205571207377,0.20825061630450536,0.30336720825992836,0.6422505307855626,119,2024-10-28
120 days,538.4144220289812,23.203758790958442,17.579428952568357,0.2892851030039627,0.2079105115291535,0.3041411241484192,0.6469051118732647,120,2024-10-29
